category	title	local_path	upstream_url	sha256
guide	Access GitHub	guides/github.md	https://platform.claude.com/docs/en/managed-agents/github.md	93ccb8e7dfea194bd90da4d79a2d14d4789181931dcde7792bdd62e286baddde
guide	Agent Skills	guides/skills.md	https://platform.claude.com/docs/en/managed-agents/skills.md	b7a64fa13b5b26855b03a89d3bf0d445354dcd883c66a43c88d78966fea8a57a
guide	Agent setup	guides/agent-setup.md	https://platform.claude.com/docs/en/managed-agents/agent-setup.md	49d9185950e648c648eb5b3d1ee322de5fca0937da5d55b9645b5eeede529863
guide	Attach and download files	guides/files.md	https://platform.claude.com/docs/en/managed-agents/files.md	57e28c6c4d234bf2b71a57373c7ef90595d5e2931d010a8466ce662e933628f9
guide	Authenticate with vaults	guides/vaults.md	https://platform.claude.com/docs/en/managed-agents/vaults.md	d195434fe0a873cab6a0bfba054a66fc2a0e88bddaacb304f1d4435b168dc4b1
guide	Cloud environment setup	guides/environments.md	https://platform.claude.com/docs/en/managed-agents/environments.md	22639e97859d9776442003ba5855edd0d54b339a1b9b9a5d19bb8bb4e18c2fe8
guide	Cloud sandbox reference	guides/cloud-sandboxes-reference.md	https://platform.claude.com/docs/en/managed-agents/cloud-sandboxes-reference.md	8a79745817bcbe811b2e47358d200a30ef0c5e18e43e5dc81c8b45677dfaf065
guide	Define outcomes	guides/define-outcomes.md	https://platform.claude.com/docs/en/managed-agents/define-outcomes.md	fe92ce3425f92d772b2f351b9c8e45173d38cccd498ca570caae7a91fb10d3d0
guide	Dreams	guides/dreams.md	https://platform.claude.com/docs/en/managed-agents/dreams.md	b93158d3307980890d59b07c8060620106fdf8dc6a71aa67a8016c8519b0fb64
guide	Integration guide	guides/self-hosted-sandboxes.md	https://platform.claude.com/docs/en/managed-agents/self-hosted-sandboxes.md	32c9b79785044dfab5f0fb86e0b20ce698b006ba181c2b6ec6681248fd700887
guide	MCP connector	guides/mcp-connector.md	https://platform.claude.com/docs/en/managed-agents/mcp-connector.md	2da5e8a4b96f312727d6c4e9db81305a5a986d3a88bed06cc05a43744ecb7d83
guide	Managed Agents reference	guides/reference.md	https://platform.claude.com/docs/en/managed-agents/reference.md	518139faf947920f3bad79867f3034289a71c7ab6efcd3c46fba1a4402931a65
guide	Memory stores	guides/memory.md	https://platform.claude.com/docs/en/managed-agents/memory.md	edbc164e2b516f67abf42382208b4eb5b6b52f4902be6597b138afe1a316db6c
